feature,0,1,[C1] 0(%),[C1] 1(%),[C2] 0(%),[C2] 1(%),[C3] 0(%),[C3] 1(%),[C4] 0(%),[C4] 1(%),[C5] 0(%),[C5] 1(%),[C6] 0(%),[C6] 1(%),[C7] 0(%),[C7] 1(%),[C8] 0(%),[C8] 1(%),[C9] 0(%),[C9] 1(%)
Cardiac Arrest,176,6,0.57,0.0,16.48,33.33,1.14,0.0,0.57,16.67,0.57,0.0,23.86,0.0,55.68,50.0,0.57,0.0,0.57,0.0
Childhood asthma,175,7,0.57,0.0,17.71,0.0,1.14,0.0,1.14,0.0,0.57,0.0,21.14,71.43,56.57,28.57,0.57,0.0,0.57,0.0
Chill (finding),157,25,0.0,4.0,17.83,12.0,1.27,0.0,1.27,0.0,0.0,4.0,22.93,24.0,56.05,52.0,0.0,4.0,0.64,0.0
Chronic intractable migraine without aura,172,10,0.58,0.0,17.44,10.0,1.16,0.0,1.16,0.0,0.58,0.0,24.42,0.0,53.49,90.0,0.58,0.0,0.58,0.0
Chronic kidney disease stage 1 (disorder),178,4,0.56,0.0,16.85,25.0,1.12,0.0,0.56,25.0,0.0,25.0,23.6,0.0,56.18,25.0,0.56,0.0,0.56,0.0
Chronic low back pain (finding),143,39,0.0,2.56,15.38,23.08,1.4,0.0,0.7,2.56,0.7,0.0,29.37,0.0,51.05,71.79,0.7,0.0,0.7,0.0
Chronic neck pain (finding),162,20,0.0,5.0,16.05,25.0,1.23,0.0,1.23,0.0,0.62,0.0,25.93,0.0,53.7,70.0,0.62,0.0,0.62,0.0
Chronic obstructive bronchitis (disorder),179,3,0.0,33.33,16.76,33.33,1.12,0.0,1.12,0.0,0.56,0.0,23.46,0.0,55.87,33.33,0.56,0.0,0.56,0.0
Chronic pain,172,10,0.58,0.0,16.86,20.0,1.16,0.0,1.16,0.0,0.58,0.0,24.42,0.0,54.07,80.0,0.58,0.0,0.58,0.0
Chronic sinusitis (disorder),145,37,0.0,2.7,17.93,13.51,1.38,0.0,1.38,0.0,0.0,2.7,28.28,2.7,49.66,78.38,0.69,0.0,0.69,0.0
Concussion injury of brain,180,2,0.56,0.0,17.22,0.0,1.11,0.0,1.11,0.0,0.56,0.0,22.78,50.0,55.56,50.0,0.56,0.0,0.56,0.0
Concussion with loss of consciousness,180,2,0.56,0.0,17.22,0.0,1.11,0.0,1.11,0.0,0.56,0.0,23.33,0.0,55.0,100.0,0.56,0.0,0.56,0.0
Concussion with no loss of consciousness,172,10,0.58,0.0,16.86,20.0,1.16,0.0,1.16,0.0,0.58,0.0,23.84,10.0,54.65,70.0,0.58,0.0,0.58,0.0
Coronary Heart Disease,171,11,0.58,0.0,18.13,0.0,1.17,0.0,0.0,18.18,0.58,0.0,23.98,9.09,54.39,72.73,0.58,0.0,0.58,0.0
Cough (finding),57,125,0.0,0.8,14.04,18.4,0.0,1.6,1.75,0.8,1.75,0.0,22.81,23.2,57.89,54.4,1.75,0.0,0.0,0.8
Diabetes,172,10,0.58,0.0,16.28,30.0,1.16,0.0,0.58,10.0,0.0,10.0,24.42,0.0,55.81,50.0,0.58,0.0,0.58,0.0
Diabetic renal disease (disorder),178,4,0.56,0.0,16.85,25.0,1.12,0.0,0.56,25.0,0.0,25.0,23.6,0.0,56.18,25.0,0.56,0.0,0.56,0.0
Drug overdose,173,9,0.58,0.0,17.34,11.11,1.16,0.0,1.16,0.0,0.58,0.0,24.28,0.0,53.76,88.89,0.58,0.0,0.58,0.0
Dyspnea (finding),150,32,0.0,3.12,17.33,15.62,0.0,6.25,1.33,0.0,0.67,0.0,20.0,37.5,59.33,37.5,0.67,0.0,0.67,0.0
Epilepsy,178,4,0.56,0.0,15.73,75.0,1.12,0.0,1.12,0.0,0.56,0.0,23.6,0.0,56.18,25.0,0.56,0.0,0.56,0.0
Escherichia coli urinary tract infection,178,4,0.56,0.0,16.29,50.0,1.12,0.0,1.12,0.0,0.56,0.0,23.6,0.0,55.62,50.0,0.56,0.0,0.56,0.0
Facial laceration,179,3,0.56,0.0,16.76,33.33,1.12,0.0,1.12,0.0,0.56,0.0,23.46,0.0,55.31,66.67,0.56,0.0,0.56,0.0
Fatigue (finding),115,67,0.87,0.0,17.39,16.42,1.74,0.0,0.87,1.49,0.0,1.49,20.0,28.36,57.39,52.24,0.87,0.0,0.87,0.0
Febrile neutropenia (disorder),166,16,0.6,0.0,16.27,25.0,1.2,0.0,1.2,0.0,0.6,0.0,18.67,68.75,60.24,6.25,0.6,0.0,0.6,0.0
Fetus with unknown complication,177,5,0.0,20.0,15.25,80.0,1.13,0.0,1.13,0.0,0.56,0.0,23.73,0.0,57.06,0.0,0.56,0.0,0.56,0.0
Fever (finding),19,163,0.0,0.61,15.79,17.18,0.0,1.23,0.0,1.23,0.0,0.61,31.58,22.09,47.37,56.44,0.0,0.61,5.26,0.0
Fibromyalgia (disorder),177,5,0.56,0.0,17.51,0.0,1.13,0.0,1.13,0.0,0.56,0.0,23.73,0.0,54.24,100.0,0.56,0.0,0.56,0.0
Fracture of ankle,177,5,0.56,0.0,17.51,0.0,1.13,0.0,1.13,0.0,0.56,0.0,21.47,80.0,56.5,20.0,0.56,0.0,0.56,0.0
Fracture of clavicle,176,6,0.57,0.0,17.05,16.67,0.0,33.33,1.14,0.0,0.57,0.0,23.86,0.0,55.68,50.0,0.57,0.0,0.57,0.0
Fracture of forearm,172,10,0.58,0.0,16.86,20.0,1.16,0.0,1.16,0.0,0.58,0.0,23.26,20.0,55.23,60.0,0.58,0.0,0.58,0.0
Fracture subluxation of wrist,177,5,0.56,0.0,17.51,0.0,1.13,0.0,1.13,0.0,0.0,20.0,22.6,40.0,55.93,40.0,0.56,0.0,0.56,0.0
Full-time employment (finding),50,132,0.0,0.76,4.0,21.97,2.0,0.76,4.0,0.0,0.0,0.76,82.0,0.76,8.0,73.48,0.0,0.76,0.0,0.76
Has a criminal record (finding),152,30,0.66,0.0,16.45,20.0,0.0,6.67,0.66,3.33,0.0,3.33,27.63,0.0,53.95,63.33,0.66,0.0,0.0,3.33
Headache (finding),160,22,0.62,0.0,16.25,22.73,1.25,0.0,1.25,0.0,0.62,0.0,21.88,31.82,56.88,45.45,0.62,0.0,0.62,0.0
Heart failure (disorder),177,5,0.56,0.0,17.51,0.0,0.0,40.0,0.0,40.0,0.56,0.0,23.73,0.0,56.5,20.0,0.56,0.0,0.56,0.0
History of appendectomy,173,9,0.0,11.11,17.92,0.0,1.16,0.0,1.16,0.0,0.58,0.0,24.28,0.0,53.76,88.89,0.58,0.0,0.58,0.0
History of cardiac arrest (situation),176,6,0.57,0.0,16.48,33.33,1.14,0.0,0.57,16.67,0.57,0.0,23.86,0.0,55.68,50.0,0.57,0.0,0.57,0.0
History of single seizure (situation),176,6,0.57,0.0,15.91,50.0,0.57,16.67,1.14,0.0,0.57,0.0,23.86,0.0,56.25,33.33,0.57,0.0,0.57,0.0
Hyperglycemia (disorder),177,5,0.56,0.0,16.38,40.0,1.13,0.0,1.13,0.0,0.56,0.0,23.73,0.0,55.37,60.0,0.56,0.0,0.56,0.0
Hyperlipidemia,165,17,0.61,0.0,18.79,0.0,1.21,0.0,0.61,5.88,0.61,0.0,25.45,0.0,51.52,94.12,0.61,0.0,0.61,0.0
Hypertension,139,43,0.72,0.0,16.55,18.6,0.0,4.65,0.72,2.33,0.0,2.33,29.5,2.33,51.8,67.44,0.72,0.0,0.0,2.33
Hypertriglyceridemia (disorder),172,10,0.58,0.0,16.28,30.0,1.16,0.0,0.58,10.0,0.0,10.0,24.42,0.0,55.81,50.0,0.58,0.0,0.58,0.0
Hypoxemia (disorder),145,37,0.0,2.7,18.62,10.81,0.0,5.41,0.0,5.41,0.69,0.0,26.21,10.81,53.1,64.86,0.69,0.0,0.69,0.0
Idiopathic atrophic hypothyroidism,179,3,0.56,0.0,17.32,0.0,1.12,0.0,1.12,0.0,0.56,0.0,23.46,0.0,54.75,100.0,0.56,0.0,0.56,0.0
Impacted molars,171,11,0.58,0.0,16.96,18.18,1.17,0.0,0.58,9.09,0.58,0.0,24.56,0.0,54.39,72.73,0.58,0.0,0.58,0.0
Injury of heart (disorder),178,4,0.56,0.0,17.42,0.0,0.0,50.0,0.56,25.0,0.56,0.0,23.6,0.0,56.18,25.0,0.56,0.0,0.56,0.0
Injury of kidney (disorder),180,2,0.56,0.0,17.22,0.0,0.56,50.0,0.56,50.0,0.56,0.0,23.33,0.0,56.11,0.0,0.56,0.0,0.56,0.0
Joint pain (finding),158,24,0.63,0.0,17.09,16.67,1.27,0.0,0.63,4.17,0.63,0.0,22.15,29.17,56.33,50.0,0.63,0.0,0.63,0.0
Laceration of foot,179,3,0.56,0.0,17.32,0.0,1.12,0.0,1.12,0.0,0.56,0.0,22.91,33.33,55.31,66.67,0.56,0.0,0.56,0.0
Laceration of forearm,177,5,0.56,0.0,16.95,20.0,1.13,0.0,1.13,0.0,0.56,0.0,23.73,0.0,54.8,80.0,0.56,0.0,0.56,0.0
Laceration of hand,177,5,0.56,0.0,17.51,0.0,1.13,0.0,1.13,0.0,0.56,0.0,22.6,40.0,55.37,60.0,0.56,0.0,0.56,0.0
Laceration of thigh,178,4,0.56,0.0,16.29,50.0,1.12,0.0,1.12,0.0,0.56,0.0,23.6,0.0,55.62,50.0,0.56,0.0,0.56,0.0
Limited social contact (finding),81,101,0.0,0.99,14.81,18.81,0.0,1.98,0.0,1.98,0.0,0.99,51.85,0.0,33.33,73.27,0.0,0.99,0.0,0.99
Loss of taste (finding),94,88,1.06,0.0,24.47,9.09,2.13,0.0,0.0,2.27,1.06,0.0,21.28,25.0,50.0,61.36,0.0,1.14,0.0,1.14
Malignant neoplasm of breast (disorder),177,5,0.56,0.0,17.51,0.0,0.56,20.0,1.13,0.0,0.56,0.0,23.73,0.0,54.8,80.0,0.56,0.0,0.56,0.0
Metabolic syndrome X (disorder),159,23,0.63,0.0,16.98,17.39,1.26,0.0,0.63,4.35,0.0,4.35,26.42,0.0,52.83,73.91,0.63,0.0,0.63,0.0
Miscarriage in first trimester,163,19,0.0,5.26,15.34,31.58,0.61,5.26,1.23,0.0,0.0,5.26,25.77,0.0,55.83,52.63,0.61,0.0,0.61,0.0
Misuses drugs (finding),167,15,0.6,0.0,17.37,13.33,1.2,0.0,0.6,6.67,0.6,0.0,25.15,0.0,53.29,80.0,0.6,0.0,0.6,0.0
Muscle pain (finding),158,24,0.63,0.0,17.09,16.67,1.27,0.0,0.63,4.17,0.63,0.0,22.15,29.17,56.33,50.0,0.63,0.0,0.63,0.0
Nasal congestion (finding),171,11,0.58,0.0,15.79,36.36,1.17,0.0,0.58,9.09,0.58,0.0,23.39,18.18,56.73,36.36,0.58,0.0,0.58,0.0
Neuropathy due to type 2 diabetes mellitus (disorder),179,3,0.56,0.0,17.32,0.0,1.12,0.0,1.12,0.0,0.0,33.33,23.46,0.0,55.31,66.67,0.56,0.0,0.56,0.0
Neutropenia (disorder),177,5,0.56,0.0,16.95,20.0,1.13,0.0,1.13,0.0,0.56,0.0,21.47,80.0,57.06,0.0,0.56,0.0,0.56,0.0
Normal pregnancy,146,36,0.0,2.78,0.0,86.11,1.37,0.0,1.37,0.0,0.68,0.0,28.77,0.0,67.81,5.56,0.0,2.78,0.0,2.78
Not in labor force (finding),96,86,0.0,1.16,14.58,19.77,1.04,1.16,2.08,0.0,0.0,1.16,43.75,0.0,37.5,75.58,1.04,0.0,0.0,1.16
Obstructive sleep apnea syndrome (disorder),178,4,0.56,0.0,16.85,25.0,0.56,25.0,1.12,0.0,0.56,0.0,23.6,0.0,55.62,50.0,0.56,0.0,0.56,0.0
Only received primary school education (finding),154,28,0.65,0.0,14.94,28.57,1.3,0.0,1.3,0.0,0.0,3.57,27.27,0.0,53.25,67.86,0.65,0.0,0.65,0.0
Opioid abuse (disorder),179,3,0.56,0.0,17.32,0.0,0.56,33.33,1.12,0.0,0.56,0.0,23.46,0.0,55.31,66.67,0.56,0.0,0.56,0.0
Osteoarthritis of hip,179,3,0.56,0.0,17.32,0.0,1.12,0.0,1.12,0.0,0.56,0.0,23.46,0.0,54.75,100.0,0.56,0.0,0.56,0.0
Osteoarthritis of knee,175,7,0.57,0.0,17.71,0.0,0.0,28.57,1.14,0.0,0.57,0.0,24.0,0.0,54.86,71.43,0.57,0.0,0.57,0.0
Osteoporosis (disorder),177,5,0.56,0.0,17.51,0.0,0.56,20.0,1.13,0.0,0.56,0.0,23.73,0.0,54.8,80.0,0.56,0.0,0.56,0.0
Otitis media,155,27,0.65,0.0,19.35,3.7,1.29,0.0,1.29,0.0,0.65,0.0,13.55,77.78,61.94,18.52,0.65,0.0,0.65,0.0
Overlapping malignant neoplasm of colon,180,2,0.56,0.0,17.22,0.0,1.11,0.0,1.11,0.0,0.56,0.0,23.33,0.0,55.0,100.0,0.56,0.0,0.56,0.0
Part-time employment (finding),78,104,0.0,0.96,16.67,17.31,2.56,0.0,2.56,0.0,0.0,0.96,53.85,0.0,24.36,78.85,0.0,0.96,0.0,0.96
Pathological fracture due to osteoporosis (disorder),179,3,0.56,0.0,17.32,0.0,0.56,33.33,1.12,0.0,0.56,0.0,23.46,0.0,55.31,66.67,0.56,0.0,0.56,0.0
Perennial allergic rhinitis,178,4,0.56,0.0,17.42,0.0,1.12,0.0,1.12,0.0,0.56,0.0,22.47,50.0,55.62,50.0,0.56,0.0,0.56,0.0
Perennial allergic rhinitis with seasonal variation,180,2,0.56,0.0,17.22,0.0,1.11,0.0,1.11,0.0,0.56,0.0,22.22,100.0,56.11,0.0,0.56,0.0,0.56,0.0
Pneumonia (disorder),145,37,0.0,2.7,18.62,10.81,0.0,5.41,0.0,5.41,0.69,0.0,26.21,10.81,53.1,64.86,0.69,0.0,0.69,0.0
Polyp of colon,174,8,0.57,0.0,17.82,0.0,1.15,0.0,1.15,0.0,0.57,0.0,24.14,0.0,53.45,100.0,0.57,0.0,0.57,0.0
Prediabetes,133,49,0.0,2.04,15.79,20.41,1.5,0.0,0.75,2.04,0.0,2.04,31.58,0.0,48.87,73.47,0.75,0.0,0.75,0.0
Preeclampsia,177,5,0.0,20.0,15.25,80.0,1.13,0.0,1.13,0.0,0.56,0.0,23.73,0.0,57.06,0.0,0.56,0.0,0.56,0.0
Pulmonary emphysema (disorder),178,4,0.56,0.0,16.85,25.0,1.12,0.0,1.12,0.0,0.56,0.0,23.6,0.0,55.06,75.0,0.56,0.0,0.56,0.0
Received certificate of high school equivalency (finding),131,51,0.76,0.0,16.79,17.65,1.53,0.0,1.53,0.0,0.76,0.0,32.06,0.0,45.8,80.39,0.76,0.0,0.0,1.96
Received higher education (finding),121,61,0.0,1.64,14.88,21.31,0.0,3.28,0.0,3.28,0.83,0.0,33.88,1.64,49.59,67.21,0.0,1.64,0.83,0.0
Recurrent rectal polyp,179,3,0.56,0.0,17.32,0.0,1.12,0.0,1.12,0.0,0.56,0.0,23.46,0.0,54.75,100.0,0.56,0.0,0.56,0.0
Refugee (person),175,7,0.57,0.0,17.71,0.0,1.14,0.0,1.14,0.0,0.57,0.0,24.0,0.0,53.71,100.0,0.57,0.0,0.57,0.0
Reports of violence in the environment (finding),122,60,0.82,0.0,15.57,20.0,0.82,1.67,0.0,3.33,0.0,1.67,34.43,0.0,48.36,70.0,0.0,1.67,0.0,1.67
Respiratory distress (finding),145,37,0.0,2.7,18.62,10.81,0.0,5.41,0.0,5.41,0.69,0.0,26.21,10.81,53.1,64.86,0.69,0.0,0.69,0.0
Risk activity involvement (finding),126,56,0.79,0.0,15.08,21.43,1.59,0.0,0.0,3.57,0.79,0.0,29.37,8.93,50.79,66.07,0.79,0.0,0.79,0.0
Rupture of patellar tendon,180,2,0.56,0.0,17.22,0.0,1.11,0.0,1.11,0.0,0.56,0.0,23.33,0.0,55.0,100.0,0.56,0.0,0.56,0.0
Seasonal allergic rhinitis,180,2,0.56,0.0,16.67,50.0,1.11,0.0,1.11,0.0,0.56,0.0,23.33,0.0,55.56,50.0,0.56,0.0,0.56,0.0
Second degree burn,178,4,0.56,0.0,17.42,0.0,1.12,0.0,1.12,0.0,0.56,0.0,23.6,0.0,55.62,50.0,0.0,25.0,0.0,25.0
Seizure disorder,176,6,0.57,0.0,15.91,50.0,0.57,16.67,1.14,0.0,0.57,0.0,23.86,0.0,56.25,33.33,0.57,0.0,0.57,0.0
Sepsis (disorder),177,5,0.56,0.0,16.95,20.0,1.13,0.0,1.13,0.0,0.56,0.0,23.73,0.0,54.8,80.0,0.56,0.0,0.56,0.0
Sepsis caused by virus (disorder),169,13,0.59,0.0,17.75,7.69,0.0,15.38,0.0,15.38,0.59,0.0,24.85,0.0,55.03,61.54,0.59,0.0,0.59,0.0
Served in armed forces (finding),174,8,0.57,0.0,16.67,25.0,0.57,12.5,0.57,12.5,0.57,0.0,24.14,0.0,55.75,50.0,0.57,0.0,0.57,0.0
Severe anxiety (panic) (finding,164,18,0.61,0.0,17.07,16.67,1.22,0.0,0.61,5.56,0.61,0.0,25.61,0.0,53.66,72.22,0.61,0.0,0.0,5.56
Sinusitis (disorder),171,11,0.58,0.0,17.54,9.09,1.17,0.0,1.17,0.0,0.58,0.0,22.22,36.36,56.14,45.45,0.0,9.09,0.58,0.0
Sleep apnea (disorder),179,3,0.56,0.0,17.32,0.0,1.12,0.0,0.56,33.33,0.56,0.0,23.46,0.0,55.31,66.67,0.56,0.0,0.56,0.0
Sleep disorder (disorder),175,7,0.57,0.0,17.14,14.29,0.57,14.29,0.57,14.29,0.57,0.0,24.0,0.0,55.43,57.14,0.57,0.0,0.57,0.0
Social isolation (finding),79,103,0.0,0.97,12.66,20.39,1.27,0.97,0.0,1.94,0.0,0.97,53.16,0.0,31.65,73.79,1.27,0.0,0.0,0.97
Sore throat symptom (finding),155,27,0.65,0.0,16.13,22.22,1.29,0.0,1.29,0.0,0.65,0.0,23.87,18.52,54.84,59.26,0.65,0.0,0.65,0.0
Sprain of ankle,171,11,0.58,0.0,15.79,36.36,1.17,0.0,1.17,0.0,0.58,0.0,22.81,27.27,56.73,36.36,0.58,0.0,0.58,0.0
Sprain of wrist,175,7,0.57,0.0,17.14,14.29,1.14,0.0,1.14,0.0,0.57,0.0,23.43,14.29,54.86,71.43,0.57,0.0,0.57,0.0
Sputum finding (finding),114,68,0.88,0.0,12.28,25.0,0.88,1.47,0.88,1.47,0.0,1.47,17.54,32.35,65.79,38.24,0.88,0.0,0.88,0.0
Streptococcal sore throat (disorder),155,27,0.65,0.0,18.06,11.11,1.29,0.0,1.29,0.0,0.65,0.0,20.0,40.74,56.77,48.15,0.65,0.0,0.65,0.0
Stress (finding),46,136,0.0,0.74,6.52,20.59,0.0,1.47,0.0,1.47,0.0,0.74,89.13,0.74,4.35,72.79,0.0,0.74,0.0,0.74
Stroke,177,5,0.56,0.0,17.51,0.0,1.13,0.0,0.56,20.0,0.0,20.0,23.73,0.0,55.37,60.0,0.56,0.0,0.56,0.0
Suspected COVID-19,0,182,0.0,0.55,0.0,17.03,0.0,1.1,0.0,1.1,0.0,0.55,0.0,23.08,0.0,55.49,0.0,0.55,0.0,0.55
Transformed migraine (disorder),180,2,0.56,0.0,17.22,0.0,1.11,0.0,1.11,0.0,0.56,0.0,23.33,0.0,55.0,100.0,0.56,0.0,0.56,0.0
Tubal pregnancy,178,4,0.56,0.0,16.85,25.0,1.12,0.0,1.12,0.0,0.0,25.0,23.6,0.0,55.62,50.0,0.56,0.0,0.56,0.0
Unhealthy alcohol drinking behavior (finding),153,29,0.0,3.45,17.65,13.79,1.31,0.0,0.65,3.45,0.0,3.45,27.45,0.0,52.29,72.41,0.65,0.0,0.0,3.45
Victim of intimate partner abuse (finding),108,74,0.0,1.35,13.89,21.62,0.93,1.35,0.93,1.35,0.0,1.35,37.96,1.35,46.3,68.92,0.0,1.35,0.0,1.35
Viral sinusitis (disorder),65,117,0.0,0.85,21.54,14.53,0.0,1.71,0.0,1.71,0.0,0.85,33.85,17.09,43.08,62.39,1.54,0.0,0.0,0.85
Wheezing (finding),150,32,0.0,3.12,17.33,15.62,0.0,6.25,1.33,0.0,0.67,0.0,20.0,37.5,59.33,37.5,0.67,0.0,0.67,0.0
Whiplash injury to neck,174,8,0.0,12.5,17.82,0.0,0.57,12.5,1.15,0.0,0.57,0.0,23.56,12.5,55.17,62.5,0.57,0.0,0.57,0.0
DTaP,150,32,0.67,0.0,20.67,0.0,1.33,0.0,1.33,0.0,0.67,0.0,6.67,100.0,67.33,0.0,0.67,0.0,0.67,0.0
HPV  quadrivalent,155,27,0.65,0.0,18.71,7.41,1.29,0.0,1.29,0.0,0.65,0.0,14.84,70.37,61.29,22.22,0.65,0.0,0.65,0.0
Hep A  adult,156,26,0.64,0.0,16.67,19.23,1.28,0.0,1.28,0.0,0.64,0.0,26.92,0.0,51.28,80.77,0.64,0.0,0.64,0.0
Hep A  ped/adol  2 dose,155,27,0.65,0.0,20.0,0.0,1.29,0.0,1.29,0.0,0.65,0.0,9.68,100.0,65.16,0.0,0.65,0.0,0.65,0.0
Hep B  adolescent or pediatric,160,22,0.62,0.0,19.38,0.0,1.25,0.0,1.25,0.0,0.62,0.0,12.5,100.0,63.12,0.0,0.62,0.0,0.62,0.0
Hep B  adult,152,30,0.66,0.0,12.5,40.0,1.32,0.0,1.32,0.0,0.66,0.0,27.63,0.0,55.26,56.67,0.66,0.0,0.0,3.33
Hib (PRP-OMP),158,24,0.63,0.0,19.62,0.0,1.27,0.0,1.27,0.0,0.63,0.0,11.39,100.0,63.92,0.0,0.63,0.0,0.63,0.0
IPV,150,32,0.67,0.0,20.67,0.0,1.33,0.0,1.33,0.0,0.67,0.0,6.67,100.0,67.33,0.0,0.67,0.0,0.67,0.0
Influenza  seasonal  injectable  preservative free,2,180,0.0,0.56,0.0,17.22,0.0,1.11,0.0,1.11,0.0,0.56,100.0,22.22,0.0,56.11,0.0,0.56,0.0,0.56
MMR,152,30,0.66,0.0,20.39,0.0,1.32,0.0,1.32,0.0,0.66,0.0,7.89,100.0,66.45,0.0,0.66,0.0,0.66,0.0
Pneumococcal conjugate PCV 13,143,39,0.7,0.0,21.68,0.0,1.4,0.0,1.4,0.0,0.7,0.0,12.59,61.54,60.14,38.46,0.7,0.0,0.7,0.0
SARS-COV-2 (COVID-19) vaccine  mRNA  spike protein  LNP  preservative free  100 mcg/0.5mL dose,129,53,0.78,0.0,13.18,26.42,1.55,0.0,1.55,0.0,0.78,0.0,28.68,9.43,51.94,64.15,0.78,0.0,0.78,0.0
SARS-COV-2 (COVID-19) vaccine  mRNA  spike protein  LNP  preservative free  30 mcg/0.3mL dose,119,63,0.0,1.59,15.13,20.63,1.68,0.0,1.68,0.0,0.84,0.0,31.09,7.94,47.9,69.84,0.84,0.0,0.84,0.0
SARS-COV-2 (COVID-19) vaccine  vector non-replicating  recombinant spike protein-Ad26  preservative free  0.5 mL,177,5,0.56,0.0,16.95,20.0,1.13,0.0,1.13,0.0,0.56,0.0,23.73,0.0,55.37,60.0,0.0,20.0,0.56,0.0
meningococcal MCV4P,128,54,0.78,0.0,14.06,24.07,1.56,0.0,1.56,0.0,0.78,0.0,17.97,35.19,62.5,38.89,0.78,0.0,0.0,1.85
pneumococcal polysaccharide vaccine  23 valent,169,13,0.59,0.0,18.34,0.0,1.18,0.0,1.18,0.0,0.59,0.0,24.85,0.0,52.07,100.0,0.59,0.0,0.59,0.0
rotavirus  monovalent,160,22,0.62,0.0,19.38,0.0,1.25,0.0,1.25,0.0,0.62,0.0,12.5,100.0,63.12,0.0,0.62,0.0,0.62,0.0
varicella,152,30,0.66,0.0,20.39,0.0,1.32,0.0,1.32,0.0,0.66,0.0,7.89,100.0,66.45,0.0,0.66,0.0,0.66,0.0
zoster,156,26,0.0,3.85,17.31,15.38,1.28,0.0,1.28,0.0,0.64,0.0,26.92,0.0,51.28,80.77,0.64,0.0,0.64,0.0
Admission to orthopedic department,175,7,0.57,0.0,17.14,14.29,0.0,28.57,1.14,0.0,0.57,0.0,23.43,14.29,56.0,42.86,0.57,0.0,0.57,0.0
Allergy screening test,173,9,0.58,0.0,17.34,11.11,1.16,0.0,1.16,0.0,0.58,0.0,21.39,55.56,56.65,33.33,0.58,0.0,0.58,0.0
Alpha-fetoprotein test,149,33,0.0,3.03,0.0,93.94,1.34,0.0,1.34,0.0,0.67,0.0,28.19,0.0,67.79,0.0,0.0,3.03,0.67,0.0
