feature,0,1,[C1] 0(%),[C1] 1(%),[C2] 0(%),[C2] 1(%),[C3] 0(%),[C3] 1(%),[C4] 0(%),[C4] 1(%),[C5] 0(%),[C5] 1(%),[C6] 0(%),[C6] 1(%),[C7] 0(%),[C7] 1(%),[C8] 0(%),[C8] 1(%),[C9] 0(%),[C9] 1(%)
Hypertension,139,43,15.83,9.3,14.39,13.95,4.32,4.65,24.46,30.23,2.88,13.95,6.47,2.33,17.99,13.95,5.76,6.98,7.91,4.65
Injury of heart (disorder),178,4,14.61,0.0,14.61,0.0,3.93,25.0,26.4,0.0,3.93,75.0,5.62,0.0,17.42,0.0,6.18,0.0,7.3,0.0
Malignant neoplasm of breast (disorder),177,5,14.69,0.0,14.69,0.0,4.52,0.0,25.99,20.0,3.95,60.0,5.65,0.0,16.95,20.0,6.21,0.0,7.34,0.0
Neutropenia (disorder),177,5,14.69,0.0,14.69,0.0,3.95,20.0,25.99,20.0,5.65,0.0,5.08,20.0,16.95,20.0,5.65,20.0,7.34,0.0
Overlapping malignant neoplasm of colon,180,2,13.89,50.0,14.44,0.0,4.44,0.0,26.11,0.0,5.56,0.0,5.56,0.0,17.22,0.0,5.56,50.0,7.22,0.0
Prediabetes,133,49,12.78,18.37,13.53,16.33,4.51,4.08,27.07,22.45,6.02,4.08,6.02,4.08,15.04,22.45,6.77,4.08,8.27,4.08
Pulmonary emphysema (disorder),178,4,13.48,50.0,14.61,0.0,4.49,0.0,25.28,50.0,5.62,0.0,5.62,0.0,17.42,0.0,6.18,0.0,7.3,0.0
Respiratory distress (finding),145,37,13.1,18.92,17.24,2.7,4.14,5.41,28.97,13.51,2.07,18.92,4.83,8.11,15.86,21.62,6.9,2.7,6.9,8.11
Suspected COVID-19,0,182,0.0,14.29,0.0,14.29,0.0,4.4,0.0,25.82,0.0,5.49,0.0,5.49,0.0,17.03,0.0,6.04,0.0,7.14
SARS-COV-2 (COVID-19) vaccine  mRNA  spike protein  LNP  preservative free  100 mcg/0.5mL dose,129,53,13.18,16.98,13.95,15.09,5.43,1.89,25.58,26.42,6.2,3.77,6.98,1.89,14.73,22.64,5.43,7.55,8.53,3.77
SARS-COV-2 (COVID-19) vaccine  mRNA  spike protein  LNP  preservative free  30 mcg/0.3mL dose,119,63,11.76,19.05,12.61,17.46,5.04,3.17,26.05,25.4,8.4,0.0,4.2,7.94,17.65,15.87,6.72,4.76,7.56,6.35
SARS-COV-2 (COVID-19) vaccine  vector non-replicating  recombinant spike protein-Ad26  preservative free  0.5 mL,177,5,14.69,0.0,14.69,0.0,3.95,20.0,25.99,20.0,5.65,0.0,5.08,20.0,17.51,0.0,6.21,0.0,6.21,40.0
Chemotherapy (procedure),160,22,14.37,13.64,15.0,9.09,4.38,4.55,25.0,31.82,6.25,0.0,5.0,9.09,17.5,13.64,5.0,13.64,7.5,4.55
Face mask (physical object),0,182,0.0,14.29,0.0,14.29,0.0,4.4,0.0,25.82,0.0,5.49,0.0,5.49,0.0,17.03,0.0,6.04,0.0,7.14
Lung volume reduction surgery (procedure),180,2,13.89,50.0,14.44,0.0,4.44,0.0,26.11,0.0,5.56,0.0,5.56,0.0,16.67,50.0,6.11,0.0,7.22,0.0
Oxygen administration by mask (procedure),145,37,13.1,18.92,17.24,2.7,4.14,5.41,28.97,13.51,2.07,18.92,4.83,8.11,15.86,21.62,6.9,2.7,6.9,8.11
Pulmonary rehabilitation (regime/therapy),179,3,13.97,33.33,14.53,0.0,4.47,0.0,25.7,33.33,5.59,0.0,5.59,0.0,16.76,33.33,6.15,0.0,7.26,0.0
DIED IN ONE MONTH,174,8,14.37,12.5,14.94,0.0,4.02,12.5,27.01,0.0,2.3,75.0,5.75,0.0,17.82,0.0,6.32,0.0,7.47,0.0
